,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('gas_boiler', 'heat_generation'), 'status')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electricity', 'electrolysis'), 'status')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-02-11 02:00:00,848.2248654438079,720.9911356272366,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,174.25646269511583,481.875286,1.0,0.0,0.0,0.0,0.0,1492.3401058377628,0.0,1487.7451517499999
2018-02-11 03:00:00,879.8927688261609,747.9088535022368,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,171.02301500209663,425.41698762500005,1.0,0.0,0.0,0.0,0.0,1462.799525337763,0.0,1458.20457125
2018-02-11 04:00:00,973.3913451496899,827.3826433772364,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.86944280597842,333.2650645,1.0,0.0,0.0,0.0,0.0,1450.1213920877628,0.0,1445.5264379999999
2018-02-11 05:00:00,1003.546476032043,853.0145046272365,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.88895804655056,333.50314875,1.0,0.0,0.0,0.0,0.0,1475.991337587763,0.0,1471.3963835
2018-02-11 06:00:00,1041.8999525026313,885.6149596272365,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.88255444875298,333.42461625,1.0,0.0,0.0,0.0,0.0,1508.513260087763,0.0,1503.918306
2018-02-11 07:00:00,1163.1516167673371,988.6788742522366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.8762144419604,333.346639875,1.0,0.0,0.0,0.0,0.0,1611.499198337763,0.0,1606.90424425
2018-02-11 08:00:00,1472.8916077967492,1251.9578666272369,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,163.99310983252107,334.77682225,1.0,0.0,0.0,0.0,0.0,1876.208373087763,0.0,1871.613419
2018-02-11 09:00:00,1389.1829735320432,1180.8055275022366,1.0,200.0,1.0,289.47368421052636,526.3157894736843,168.66164492848623,390.80311412500004,1.0,0.0,0.0,0.0,0.0,1861.082325837763,0.0,1856.48737175
2018-02-11 10:00:00,1513.6048362797214,1286.564110837763,1.0,0.0,0.0,0.0,0.0,174.4190253834866,484.57790374999996,1.0,0.0,0.0,0.0,0.0,1771.142014587763,0.0,1766.5470605
2018-02-11 11:00:00,1280.3585986326623,1088.304808837763,1.0,0.0,0.0,0.0,0.0,174.54647146594516,486.70768949999996,1.0,0.0,0.0,0.0,0.0,1575.012498337763,0.0,1570.41754425
