,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-04 01:00:00,0.0,0.0,0.0,-0.0,0.0,853.956217069428,1693.7624325673012,1.0,0.0,-0.0,-0.0,1693.7624325673012,22495.21791936339,1688.1617765
2018-01-04 02:00:00,0.0,0.0,0.0,-0.0,0.0,854.1549498974517,1696.126554965366,1.0,0.0,-0.0,-0.0,1696.126554965366,22508.142712166973,1676.08580125
2018-01-04 03:00:00,0.0,0.0,0.0,-0.0,0.0,854.0907130749348,1695.3545376575364,1.0,0.0,-0.0,-0.0,1695.3545376575364,22506.578430199723,1689.80141025
2018-01-04 04:00:00,0.0,0.0,0.0,-0.0,0.0,853.5280571473045,1688.6728935749586,1.0,0.0,-0.0,-0.0,1688.6728935749586,22471.394465956735,1716.73962375
2018-01-04 05:00:00,0.0,0.0,0.0,-0.0,0.0,853.8908514767384,1692.9824112606402,1.0,0.0,-0.0,-0.0,1692.9824112606402,22341.113114665863,1816.1504715
2018-01-04 06:00:00,0.0,0.0,0.0,-0.0,0.0,853.8267307567129,1692.2129916844779,1.0,0.0,-0.0,-0.0,1692.2129916844779,22040.8397639931,1985.38765175
2018-01-04 07:00:00,0.0,0.0,0.0,-0.0,0.0,853.1664912460004,1684.3859305897292,1.0,0.0,-0.0,-0.0,1684.3859305897292,21747.29031717954,1970.8703380000002
2018-01-04 08:00:00,0.0,0.0,0.0,-0.0,0.0,853.2651193438709,1685.5540207976726,1.0,0.0,-0.0,-0.0,1685.5540207976726,21443.49351048961,1982.31868575
2018-01-04 09:00:00,0.0,0.0,0.0,-0.0,0.0,853.6272416074532,1689.8489354081107,1.0,0.0,-0.0,-0.0,1689.8489354081107,21160.20684823273,1966.137502
2018-01-04 10:00:00,0.0,0.0,0.0,-0.0,0.0,854.1549498974517,1696.126554965366,1.0,0.0,-0.0,-0.0,1696.126554965366,20951.61919481324,1897.74786025
