,Normed PV feed in series for 1 kWp installed PV capacity,Heat demand time series inclusive losses of district hetaing network. This demand time series needs to be equal to the thermal energy after the thermal storage in the modelica model,This is the COP of the air source heat pump. It must be identical to the COP of the modelica model.,Maximum thermal power of the air sourced heatpump. ,Fixed loss factor related to the thermal capacity of the storage. It can be considered as thermal losses in the empty state e.g. at 50C,Loss factor dependent on the state of charge of the storage. It is related to the thermal capacity of the storage
SECONDS,pv_normed_per_kWp,Heat_demand_after_storage_kW,COP_Heatpump_air,Maximum-Power_Heatpump_air,TES_fix_loss_factor,TES_SOC_loss_factor
220500,0.167656364,1848.974428,1.901154444,0.614738608,0.0001,0.0002
221400,0.149772498,1871.133175,1.901154444,0.614738608,0.0001,0.0002
222300,0.129004244,1855.189517,1.909641741,0.618033319,0.0001,0.0002
223200,0.100829994,1827.359013,1.921076722,0.622476932,0.0001,0.0002
224100,0.077269688,1795.661926,1.932649473,0.626979471,0.0001,0.0002
225000,0.053708553,1829.927581,1.93556448,0.628114447,0.0001,0.0002
225900,0.032858037,1829.615235,1.953240868,0.635004164,0.0001,0.0002
226800,0.017989824,1829.523534,1.971243088,0.642033708,0.0001,0.0002
227700,0.008376378,1798.62241,1.980369213,0.645602212,0.0001,0.0002
228600,0.002986818,1798.62241,1.992669643,0.650417137,0.0001,0.0002
229500,0.000651033,1827.973665,1.995768663,0.651631168,0.0001,0.0002
230400,0,1811.350892,1.992669643,0.650417137,0.0001,0.0002
231300,0,1811.350892,2.00199571,0.654071734,0.0001,0.0002
232200,0,1808.965167,2.011409483,0.657764154,0.0001,0.0002
233100,0,1767.851196,2.024099763,0.662747208,0.0001,0.0002
234000,0,1758.38793,2.040189587,0.669074136,0.0001,0.0002
234900,0,1751.484502,2.030505142,0.665264766,0.0001,0.0002
235800,0,1739.491338,2.03695119,0.667799912,0.0001,0.0002
236700,0,1739.491338,2.046697368,0.671636002,0.0001,0.0002
237600,0,1740.24899,2.046697368,0.671636002,0.0001,0.0002
238500,0,1753.637472,2.046697368,0.671636002,0.0001,0.0002
239400,0,1753.637472,2.024099763,0.662747208,0.0001,0.0002
240300,0,1704.368267,2.030505142,0.665264766,0.0001,0.0002
241200,0,1730.776932,2.046697368,0.671636002,0.0001,0.0002
242100,0,1730.776932,2.043438296,0.670352825,0.0001,0.0002
243000,0,1721.237852,2.03695119,0.667799912,0.0001,0.0002
243900,0,1751.123504,2.059838283,0.676814042,0.0001,0.0002
244800,0,1755.795632,2.049966853,0.672923688,0.0001,0.0002
245700,0,1765.967433,2.0532468,0.674215908,0.0001,0.0002
246600,0,1719.330327,2.059838283,0.676814042,0.0001,0.0002
247500,0,1719.330327,2.0532468,0.674215908,0.0001,0.0002
248400,0,1757.598958,2.049966853,0.672923688,0.0001,0.0002
249300,0,1786.288472,2.05653726,0.675512685,0.0001,0.0002
250200,0,1786.288472,2.043438296,0.670352825,0.0001,0.0002
251100,0,1740.587663,2.033723059,0.666530129,0.0001,0.0002
252000,0,1832.257171,2.03695119,0.667799912,0.0001,0.0002
252900,0,1832.257171,2.040189587,0.669074136,0.0001,0.0002
253800,0,1852.667281,2.033723059,0.666530129,0.0001,0.0002
254700,0,1829.159166,2.043438296,0.670352825,0.0001,0.0002
255600,0,1814.74455,2.043438296,0.670352825,0.0001,0.0002
256500,0,1878.932293,2.059838283,0.676814042,0.0001,0.0002
257400,0,1809.888888,2.05653726,0.675512685,0.0001,0.0002
258300,0,1809.888888,2.066472222,0.67943059,0.0001,0.0002
259200,0,1746.115638,2.06314992,0.678120002,0.0001,0.0002
260100,0,1727.957105,2.0532468,0.674215908,0.0001,0.0002
261000,0,1727.957105,2.049966853,0.672923688,0.0001,0.0002
261900,0,1722.416499,2.046697368,0.671636002,0.0001,0.0002
262800,0,1691.540119,2.0532468,0.674215908,0.0001,0.0002
263700,0,1691.540119,2.05653726,0.675512685,0.0001,0.0002
264600,0,1684.638744,2.049966853,0.672923688,0.0001,0.0002
265500,0,1684.928124,2.049966853,0.672923688,0.0001,0.0002
266400,0,1681.568749,2.059838283,0.676814042,0.0001,0.0002
267300,0,1675.304198,2.777660714,0.968912694,0.0001,0.0002
268200,0,1673.735129,2.800391162,0.978435154,0.0001,0.0002
269100,0,1673.735129,2.809587849,0.982292322,0.0001,0.0002
270000,0,1672.383998,2.809587849,0.982292322,0.0001,0.0002
270900,0,1695.645695,2.786708469,0.972701208,0.0001,0.0002
271800,0,1695.645695,2.804981967,0.98036026,0.0001,0.0002
272700,0,1695.530253,2.81884514,0.986177458,0.0001,0.0002
273600,0,1685.596465,2.814208882,0.984231375,0.0001,0.0002
274500,0,1685.596465,2.828163636,0.990090859,0.0001,0.0002
275400,0,1686.528214,2.8234967,0.988130607,0.0001,0.0002
276300,0,1809.237351,2.832846026,0.992058252,0.0001,0.0002
277200,0,1797.75375,2.842257475,0.996014615,0.0001,0.0002
278100,0,1825.736708,2.856492487,1,0.0001,0.0002
279000,0,1820.555714,2.846986689,0.99800366,0.0001,0.0002
279900,0,1820.555714,2.890268581,1,0.0001,0.0002
280800,0,1937.646027,2.895159052,1,0.0001,0.0002
281700,0,2087.111545,2.900066102,1,0.0001,0.0002
282600,0,2087.111545,2.880537037,1,0.0001,0.0002
283500,0,1829.68149,2.870870805,1,0.0001,0.0002
284400,0,1900.838195,2.904989813,1,0.0001,0.0002
285300,0,1900.838195,2.866061977,1,0.0001,0.0002
286200,0,2075.089014,2.861269231,1,0.0001,0.0002
287100,0,2006.715948,2.924852991,1,0.0001,0.0002
288000,0,1962.567613,2.924852991,1,0.0001,0.0002
288900,0,1965.535994,2.980904181,1,0.0001,0.0002
289800,0,2000.585568,2.960275087,1,0.0001,0.0002
290700,0,2000.585568,2.97572,1,0.0001,0.0002
291600,0.009415531,2034.495049,3.001822807,1,0.0001,0.0002
292500,0.037682158,1980.332145,2.914887564,1,0.0001,0.0002
293400,0.042395643,1942.383496,2.924852991,1,0.0001,0.0002
294300,0.033919576,1907.339318,2.960275087,1,0.0001,0.0002
295200,0.029429599,1892.458249,2.944989673,1,0.0001,0.0002
296100,0.029036638,1892.458249,2.960275087,1,0.0001,0.0002
297000,0.027642504,1923.584536,2.944989673,1,0.0001,0.0002
297900,0.025333572,1882.490407,2.944989673,1,0.0001,0.0002
298800,0.022965641,1884.764232,2.914887564,1,0.0001,0.0002
299700,0.02147931,1848.425544,2.895159052,1,0.0001,0.0002
300600,0.021625773,1836.010156,2.875695798,1,0.0001,0.0002
301500,0.022667502,1836.010156,2.861269231,1,0.0001,0.0002
302400,0.023971368,1807.301132,2.870870805,1,0.0001,0.0002
303300,0.025033458,1747.384502,2.846986689,0.99800366,0.0001,0.0002
304200,0.025464645,1747.384502,2.856492487,1,0.0001,0.0002
305100,0.025668769,1723.218114,2.842257475,0.996014615,0.0001,0.0002
306000,0.025816448,1714.649915,2.804981967,0.98036026,0.0001,0.0002
306900,0.02598785,1702.930122,2.814208882,0.984231375,0.0001,0.0002
307800,0.026486033,1697.720336,2.795815359,0.976516968,0.0001,0.0002
308700,0.028158158,1704.405833,2.791254486,0.974605664,0.0001,0.0002
309600,2.98E-02,1705.39312,2.828163636,0.990090859,0.0001,0.0002
310500,0.030120084,1691.456081,2.846986689,0.99800366,0.0001,0.0002
311400,0.027766826,1712.438153,2.880537037,1,0.0001,0.0002
312300,0.023579572,1712.438153,2.895159052,1,0.0001,0.0002
313200,0.018400101,1731.750171,2.929861301,1,0.0001,0.0002
314100,0.012920658,1671.125892,2.960275087,1,0.0001,0.0002
315000,0.007738157,1658.547732,2.986106457,1,0.0001,0.0002
315900,0.002493679,1681.957043,2.970553819,1,0.0001,0.0002
316800,0,1725.947494,2.980904181,1,0.0001,0.0002
317700,0,1753.009124,2.960275087,1,0.0001,0.0002
318600,0,1765.065032,2.960275087,1,0.0001,0.0002
319500,0,1724.468291,2.960275087,1,0.0001,0.0002
320400,0,1743.480821,2.960275087,1,0.0001,0.0002
321300,0,1742.908711,2.980904181,1,0.0001,0.0002
322200,0,1872.273517,3.007098418,1,0.0001,0.0002
323100,0,1872.273517,3.023037102,1,0.0001,0.0002
