,Normed PV feed in series for 1 kWp installed PV capacity,Heat demand time series inclusive losses of district hetaing network. This demand time series needs to be equal to the thermal energy after the thermal storage in the modelica model,This is the COP of the air source heat pump. It must be identical to the COP of the modelica model.,Maximum thermal power of the air sourced heatpump. ,Fixed loss factor related to the thermal capacity of the storage. It can be considered as thermal losses in the empty state e.g. at 50C,Loss factor dependent on the state of charge of the storage. It is related to the thermal capacity of the storage
SECONDS,pv_normed_per_kWp,Heat_demand_after_storage_kW,COP_Heatpump_air,Maximum-Power_Heatpump_air,TES_fix_loss_factor,TES_SOC_loss_factor
263700,0,1691.540119,1.983430062,0.646799804,0.0001,0.0002
264600,0,1684.638744,1.983430062,0.646799804,0.0001,0.0002
265500,0,1684.928124,1.983430062,0.646799804,0.0001,0.0002
266400,0,1681.568749,1.983430062,0.646799804,0.0001,0.0002
267300,0,1675.304198,1.984967605,0.647401665,0.0001,0.0002
268200,0,1673.735129,1.986505148,0.648003526,0.0001,0.0002
269100,0,1673.735129,1.98804269,0.648605386,0.0001,0.0002
270000,0,1672.383998,1.989580233,0.649207247,0.0001,0.0002
270900,0,1695.645695,1.986514624,0.648007605,0.0001,0.0002
271800,0,1695.645695,1.983449015,0.646807963,0.0001,0.0002
272700,0,1695.530253,1.980383406,0.64560832,0.0001,0.0002
273600,0,1685.596465,1.977317797,0.644408678,0.0001,0.0002
274500,0,1685.596465,1.978080651,0.644707062,0.0001,0.0002
275400,0,1686.528214,1.978843505,0.645005445,0.0001,0.0002
276300,0,1809.237351,1.979606359,0.645303829,0.0001,0.0002
277200,0,1797.75375,1.980369213,0.645602212,0.0001,0.0002
278100,0,1825.736708,1.981902007,0.646202028,0.0001,0.0002
279000,0,1820.555714,1.9834348,0.646801844,0.0001,0.0002
279900,0,1820.555714,1.984967594,0.64740166,0.0001,0.0002
280800,0,1937.646027,1.986500387,0.648001476,0.0001,0.0002
281700,0,2087.111545,1.983444233,0.646805903,0.0001,0.0002
282600,0,2087.111545,1.980388078,0.64561033,0.0001,0.0002
283500,0,1829.68149,1.977331924,0.644414757,0.0001,0.0002
284400,0,1900.838195,1.974275769,0.643219184,0.0001,0.0002
285300,0,1900.838195,1.974275769,0.643219184,0.0001,0.0002
286200,0,2075.089014,1.974275769,0.643219184,0.0001,0.0002
287100,0,2006.715948,1.974275769,0.643219184,0.0001,0.0002
288000,0,1962.567613,1.974275769,0.643219184,0.0001,0.0002
288900,0,1965.535994,1.975036276,0.643516558,0.0001,0.0002
289800,0,2000.585568,1.975796783,0.643813931,0.0001,0.0002
290700,0,2000.585568,1.97655729,0.644111305,0.0001,0.0002
291600,0.009415531,2034.495049,1.977317797,0.644408678,0.0001,0.0002
292500,0.037682158,1980.332145,1.978845863,0.64500646,0.0001,0.0002
293400,0.042395643,1942.383496,1.98037393,0.645604241,0.0001,0.0002
294300,0.033919576,1907.339318,1.981901996,0.646202023,0.0001,0.0002
295200,0.029429599,1892.458249,1.983430062,0.646799804,0.0001,0.0002
296100,0.029036638,1892.458249,1.984967605,0.647401665,0.0001,0.0002
297000,0.027642504,1923.584536,1.986505148,0.648003526,0.0001,0.0002
297900,0.025333572,1882.490407,1.98804269,0.648605386,0.0001,0.0002
298800,0.022965641,1884.764232,1.989580233,0.649207247,0.0001,0.0002
299700,0.02147931,1848.425544,1.990352586,0.64950972,0.0001,0.0002
300600,0.021625773,1836.010156,1.991124938,0.649812192,0.0001,0.0002
301500,0.022667502,1836.010156,1.99189729,0.650114665,0.0001,0.0002
302400,0.023971368,1807.301132,1.992669643,0.650417137,0.0001,0.0002
303300,0.025033458,1747.384502,1.992669643,0.650417137,0.0001,0.0002
304200,0.025464645,1747.384502,1.992669643,0.650417137,0.0001,0.0002
305100,0.025668769,1723.218114,1.992669643,0.650417137,0.0001,0.0002
306000,0.025816448,1714.649915,1.992669643,0.650417137,0.0001,0.0002
306900,0.02598785,1702.930122,1.99189729,0.650114665,0.0001,0.0002
307800,0.026486033,1697.720336,1.991124938,0.649812192,0.0001,0.0002
308700,0.028158158,1704.405833,1.990352586,0.64950972,0.0001,0.0002
309600,2.98E-02,1705.39312,1.989580233,0.649207247,0.0001,0.0002
310500,0.030120084,1691.456081,1.990352586,0.64950972,0.0001,0.0002
311400,0.027766826,1712.438153,1.991124938,0.649812192,0.0001,0.0002
312300,0.023579572,1712.438153,1.99189729,0.650114665,0.0001,0.0002
313200,0.018400101,1731.750171,1.992669643,0.650417137,0.0001,0.0002
314100,0.012920658,1671.125892,1.989594536,0.649213406,0.0001,0.0002
315000,0.007738157,1658.547732,1.986519428,0.648009675,0.0001,0.0002
315900,0.002493679,1681.957043,1.98344432,0.646805943,0.0001,0.0002
316800,0,1725.947494,1.980369213,0.645602212,0.0001,0.0002
317700,0,1753.009124,1.980369213,0.645602212,0.0001,0.0002
318600,0,1765.065032,1.980369213,0.645602212,0.0001,0.0002
319500,0,1724.468291,1.980369213,0.645602212,0.0001,0.0002
