Time;T_amp
4420800;-3.1
4424400;-3.1
4428000;-3.2
4431600;-3.4
4435200;-2.3
4438800;-0.9
4442400;0.4
4446000;1.3
4449600;2.4
4453200;3.1
4456800;2.9
4460400;2.1
4464000;1.3
4467600;0.2
4471200;-0.6
4474800;-1.3
4478400;-1.3
4482000;-1.5
4485600;-2
4489200;-2
4492800;-2.2
4496400;-2
4500000;-2.4
4503600;-2.1
4507200;-2
4510800;-2.2
4514400;-2.7
4518000;-3.1
4521600;-1.4
4525200;-0.4
4528800;1.3
4532400;3.1
4536000;3.8
4539600;4.1
4543200;3.8
4546800;3.7
4550400;2.5
4554000;1.6
4557600;0.4
4561200;0.6
4564800;0.4
4568400;0.3
4572000;0.2
4575600;0.2
4579200;0.2
4582800;0.3
4586400;0.4
4590000;0.3
4593600;0.1
4597200;-0.3
4600800;-0.5
4604400;-0.8
4608000;-1
4611600;-0.7
4615200;-0.5
4618800;-0.3
4622400;0.3
4626000;0.5
4629600;0.3
4633200;0.1
4636800;-0.5
4640400;-1
4644000;-1.6
4647600;-2.1
4651200;-2.5
4654800;-1.8
4658400;-2.6
4662000;-3
4665600;-3.1
4669200;-3.2
4672800;-3
4676400;-3.1
4680000;-3.1
4683600;-3
4687200;-2.8
4690800;-2.4
4694400;-2.1
4698000;-1.7
4701600;-1.4
4705200;-1
4708800;-0.4
4712400;-0.4
4716000;-0.3
4719600;-0.3
4723200;-0.2
4726800;0
4730400;0.1
4734000;0.1
4737600;0.2
4741200;0.5
4744800;0.8
4748400;0.8
4752000;0.8
4755600;1.3
4759200;1.4
4762800;1.7
4766400;1.9
4770000;1.9
4773600;2.5
4777200;2.6
4780800;3
4784400;3.3
4788000;3.8
4791600;4.3
4795200;4.4
4798800;4.6
4802400;4.8
4806000;5.3
4809600;5
4813200;3.8
4816800;4.6
4820400;4.6
4824000;4.7
4827600;4.5
4831200;4.1
4834800;3.8
4838400;3.1
4842000;2.9
4845600;3.2
4849200;2.8
4852800;3
4856400;3
4860000;3.2
4863600;3.3
4867200;3.7
4870800;3.7
4874400;4.3
4878000;4.3
4881600;4.5
4885200;4.8
4888800;5.1
4892400;4.9
4896000;5.1
4899600;5.6
4903200;4.4
4906800;3.7
4910400;3
4914000;3.1
4917600;3.1
4921200;2.8
4924800;3.1
4928400;3
4932000;3.6
4935600;3.6
4939200;3.4
4942800;3
4946400;2.9
4950000;2.8
4953600;3.1
4957200;3.3
4960800;3.5
4964400;3.7
4968000;5
4971600;4.9
4975200;4.4
4978800;4.1
4982400;4
4986000;4.4
4989600;4.6
4993200;4.4
4996800;4.5
5000400;4.3
5004000;4.4
5007600;4.2
5011200;4
5014800;3.5
5018400;2.9
5022000;3.1
5025600;2.8
5029200;2.7
5032800;2.5
5036400;2.7
5040000;3.5
5043600;3.6
5047200;3.8
5050800;4
5054400;3.2
5058000;2.9
5061600;2.8
5065200;2.9
5068800;3.3
5072400;4
5076000;5
5079600;5.3
5083200;4.8
5086800;4.1
5090400;3.6
5094000;3.3
5097600;1.9
5101200;1
5104800;0.5
5108400;0.7
5112000;1.2
5115600;1.1
5119200;1.1
5122800;1.1
5126400;1.5
5130000;1.8
5133600;2.1
5137200;2.8
5140800;3.3
5144400;3.9
5148000;3.7
5151600;3.7
5155200;3.3
5158800;2.5
5162400;2
5166000;1.8
5169600;1.5
5173200;1.6
5176800;1.9
5180400;1.7
5184000;1.8
5187600;1.7
5191200;1.8
5194800;2
5198400;1.8
5202000;1.7
5205600;1.5
5209200;1.7
5212800;1.9
5216400;2.8
5220000;3.7
5223600;3.7
5227200;3
5230800;3.9
5234400;3.4
5238000;3.2
5241600;2.9
5245200;2.3
5248800;2.1
5252400;1.5
5256000;1.6
5259600;1.4
5263200;1.8
5266800;1.1
5270400;1
5274000;1.3
5277600;1.3
5281200;0.9
5284800;1
5288400;1.4
5292000;1.6
5295600;1.2
5299200;1.5
5302800;2.4
5306400;3.3
5310000;3.6
5313600;3.8
5317200;3.8
5320800;3.9
5324400;3.5
5328000;2.9
5331600;1.7
5335200;0.5
5338800;0
5342400;-0.3
5346000;-0.6
5349600;-0.5
5353200;-1
5356800;-0.8
5360400;-0.7
5364000;-0.6
5367600;-0.9
5371200;-0.7
5374800;-0.1
5378400;-0.4
5382000;-0.5
5385600;0.7
5389200;0.8
5392800;0.2
5396400;1.1
5400000;2.2
5403600;2.4
5407200;2.2
5410800;1.9
5414400;1.3
5418000;0.2
5421600;-1.4
5425200;-1.5
5428800;-2
5432400;-2.3
5436000;-1.8
5439600;-0.9
5443200;0.4
5446800;1.5
5450400;2.4
5454000;2.3
5457600;2.2
5461200;2
5464800;1.5
5468400;2.6
5472000;1.4
5475600;2
5479200;3.9
5482800;5.5
5486400;5.5
5490000;5.6
5493600;5.5
5497200;4.8
5500800;1.8
5504400;1.1
5508000;0.8
5511600;0.1
5515200;0.6
5518800;1.1
5522400;0.8
5526000;1.2
5529600;0.6
5533200;0.1
5536800;-0.6
5540400;-0.4
5544000;-1.1
5547600;-1.4
5551200;-2
5554800;-1.9
5558400;0.5
5562000;2.3
5565600;3.8
5569200;4.4
5572800;5
5576400;5.1
5580000;5.2
5583600;4.6
5587200;4.3
5590800;3.8
5594400;3.8
5598000;3.7
5601600;3.6
5605200;3.7
5608800;3.9
5612400;3.8
5616000;4.2
5619600;4.3
5623200;4.6
5626800;4.9
5630400;5
5634000;5.1
5637600;5.6
5641200;5.8
5644800;6.1
5648400;6.3
5652000;6.4
5655600;6.7
5659200;6.9
5662800;6.8
5666400;7
5670000;7.1
5673600;6.7
5677200;6.5
5680800;6.3
5684400;6.4
5688000;6.4
5691600;6.4
5695200;6.2
5698800;6.3
5702400;6.4
5706000;6.4
5709600;6.2
5713200;6.4
5716800;6.4
5720400;6.4
5724000;6.6
5727600;6.5
5731200;6.7
5734800;7
5738400;7.2
5742000;7.3
5745600;7.6
5749200;7.6
5752800;7.8
5756400;7.6
5760000;7.6
5763600;7.3
5767200;7
5770800;7
5774400;6.7
5778000;6.2
5781600;5.1
5785200;4.2
5788800;3.6
5792400;3.1
5796000;2.6
5799600;2.2
5803200;2.5
5806800;2
5810400;1.7
5814000;2.1
5817600;4
5821200;5.8
5824800;7.6
5828400;8.8
5832000;9.1
5835600;9.3
5839200;9.7
5842800;10
5846400;8.9
5850000;8.2
5853600;7.7
5857200;7.3
5860800;6.9
5864400;6.8
5868000;6.9
5871600;6.7
5875200;6.1
5878800;5.7
5882400;5.2
5886000;5.4
5889600;5.6
5893200;6.1
5896800;6.2
5900400;6.2
5904000;6.5
5907600;7.2
5911200;8
5914800;9
5918400;9.3
5922000;9
5925600;9
5929200;8.8
5932800;8.9
5936400;8.4
5940000;8.3
5943600;8.1
5947200;8.2
5950800;7.9
5954400;8
5958000;7.8
5961600;7.7
5965200;6.7
5968800;6.2
5972400;5.8
5976000;5.6
5979600;5.8
5983200;5.9
5986800;5.5
5990400;6.7
5994000;7.2
5997600;8.6
6001200;9.9
6004800;10.3
6008400;10.8
6012000;11.2
6015600;11
6019200;10.8
6022800;9.9
6026400;9.1
6030000;9
6033600;9.3
6037200;9
6040800;8.6
6044400;7.8
6048000;7.5
6051600;7.1
6055200;6.7
6058800;7.3
6062400;7.3
6066000;7
6069600;7.3
6073200;7.2
6076800;6.8
6080400;6.2
6084000;7.3
6087600;7.9
6091200;6.9
6094800;6.7
6098400;6.7
6102000;6.5
6105600;6.6
